全部	-1	3427	3772	0
全部	-1	2191	2082	1
全部	-1	1227	962	2
全部	-1	712	446	3
全部	-1	491	180	4
全部	-1	467	136	5
全部	-1	841	382	6
全部	-1	2192	1486	7
全部	-1	4424	3834	8
全部	-1	6937	7018	9
全部	-1	12179	17030	10
全部	-1	21475	37808	11
全部	-1	19859	35594	12
全部	-1	13916	22496	13
全部	-1	11695	17250	14
全部	-1	13547	15753	15
全部	-1	14886	18176	16
全部	-1	18277	26841	17
全部	-1	18310	30701	18
全部	-1	14153	24030	19
全部	-1	11413	18065	20
全部	-1	10266	14267	21
全部	-1	8753	11786	22
全部	-1	7071	8237	23
全部	0	20	3191	0
全部	0	14	1762	1
全部	0	10	776	2
全部	0	6	379	3
全部	0	6	144	4
全部	0	3	113	5
全部	0	11	287	6
全部	0	19	1193	7
全部	0	41	3037	8
全部	0	57	5505	9
全部	0	92	13349	10
全部	0	149	29983	11
全部	0	173	28730	12
全部	0	121	17977	13
全部	0	102	13764	14
全部	0	81	12543	15
全部	0	101	14472	16
全部	0	130	21465	17
全部	0	170	24692	18
全部	0	126	19513	19
全部	0	84	14859	20
全部	0	82	11823	21
全部	0	67	9741	22
全部	0	52	6960	23
全部	1	3407	581	0
全部	1	2177	320	1
全部	1	1217	186	2
全部	1	706	67	3
全部	1	485	36	4
全部	1	464	23	5
全部	1	830	95	6
全部	1	2173	293	7
全部	1	4383	797	8
全部	1	6880	1513	9
全部	1	12087	3681	10
全部	1	21326	7825	11
全部	1	19686	6864	12
全部	1	13795	4519	13
全部	1	11593	3486	14
全部	1	13466	3210	15
全部	1	14785	3704	16
全部	1	18147	5376	17
全部	1	18140	6009	18
全部	1	14027	4517	19
全部	1	11329	3206	20
全部	1	10184	2444	21
全部	1	8686	2045	22
全部	1	7019	1277	23
1	-1	5	3	0
1	-1	7	1	1
1	-1	6	0	2
1	-1	2	0	3
1	-1	4	0	4
1	-1	2	0	5
1	-1	5	0	6
1	-1	14	4	7
1	-1	17	5	8
1	-1	29	7	9
1	-1	43	23	10
1	-1	75	37	11
1	-1	72	44	12
1	-1	48	24	13
1	-1	46	27	14
1	-1	32	12	15
1	-1	48	19	16
1	-1	60	23	17
1	-1	75	53	18
1	-1	60	23	19
1	-1	42	23	20
1	-1	38	13	21
1	-1	35	9	22
1	-1	13	6	23
1	0	5	3	0
1	0	7	1	1
1	0	6	0	2
1	0	2	0	3
1	0	4	0	4
1	0	2	0	5
1	0	5	0	6
1	0	14	4	7
